post_id,post_date,post_time,day_of_week,post_type,content_length,hashtags_count,has_media,media_type,impressions,likes,comments,shares,engagement_rate,total_engagement,like_rate,comment_rate,share_rate,virality_score,post_hour,time_period
13,2024-01-04,16:00,Thursday,Carousel,316,9,Yes,Image,29138,1195,151,119,5.03,1465,4.101173725032604,0.5182236255062118,0.40840140023337224,6.362825176745143,16,Afternoon
14,2024-04-02,9:00,Tuesday,Carousel,420,7,Yes,Image,44992,909,76,127,2.47,1112,2.020359174964438,0.16891891891891891,0.2822724039829303,3.205014224751067,9,Morning
15,2024-02-16,9:15,Friday,Video,131,10,Yes,Video,48346,2273,258,197,5.64,2728,4.701526496504364,0.5336532494932362,0.40747941918669583,6.991271253050925,9,Morning
16,2024-01-03,12:45,Wednesday,Video,177,6,Yes,Video,25243,1002,131,146,5.07,1279,3.969417264192053,0.5189557501089411,0.5783781642435527,6.742463257140593,12,Afternoon
17,2024-02-07,10:45,Wednesday,Text,234,2,No,No Media,36540,1010,142,48,3.28,1200,2.7640941434044883,0.3886152162014231,0.13136288998357964,3.935413245758073,10,Morning
18,2024-04-02,10:15,Tuesday,Text,479,10,No,No Media,14925,376,37,35,3.0,448,2.5192629815745393,0.24790619765494137,0.23450586264656617,3.7185929648241203,10,Morning
19,2024-02-20,15:00,Tuesday,Image,258,8,Yes,Image,31059,1117,164,57,4.31,1338,3.5963810811680994,0.5280273028751731,0.18352168453588333,5.203000740526095,15,Afternoon
20,2024-03-14,15:00,Thursday,Image,494,2,Yes,Image,9509,443,74,26,5.71,543,4.658744347460301,0.7782101167315175,0.2734251761489116,7.035440109370071,15,Afternoon
21,2024-04-19,14:30,Friday,Video,157,7,Yes,Video,32733,1417,258,86,5.38,1761,4.328964653407876,0.7881953991384841,0.262731799712828,6.693550850823328,14,Afternoon
22,2024-02-17,17:15,Saturday,Image,478,6,Yes,Image,20494,830,165,109,5.39,1104,4.0499658436615595,0.8051136918122377,0.5318629842880843,7.2557821801502875,17,Evening
23,2024-04-27,9:30,Saturday,Video,268,6,Yes,Video,30696,1370,152,88,5.24,1610,4.463122230909565,0.49517852488923636,0.2866823038832421,6.313526192337764,9,Morning
24,2024-04-24,11:30,Wednesday,Image,434,0,Yes,Image,12731,255,30,30,2.47,315,2.002984840153955,0.23564527531223,0.23564527531223,3.1812112167151048,11,Morning
25,2024-01-23,17:00,Tuesday,Text,157,4,No,No Media,30715,653,53,77,2.55,783,2.1259970698355852,0.17255412664821748,0.25069184437571224,3.2231808562591566,17,Evening
26,2024-01-31,16:45,Wednesday,Carousel,413,0,Yes,Image,12238,429,27,21,3.9,477,3.5054747507762705,0.22062428501389117,0.17159666612191535,4.461513319169799,16,Afternoon
27,2024-03-30,13:30,Saturday,Text,262,1,No,No Media,4195,204,15,25,5.82,244,4.862932061978546,0.3575685339690107,0.5959475566150179,7.365911799761621,13,Afternoon
28,2024-03-29,20:45,Friday,Image,290,8,Yes,Image,28987,635,67,80,2.7,782,2.1906371821851174,0.231138096388036,0.27598578673198326,3.480870735157139,20,Evening
29,2024-01-15,9:45,Monday,Image,392,0,Yes,Image,40899,1566,219,179,4.8,1964,3.8289444729699995,0.5354654148023179,0.4376635125553192,6.2128658402405925,9,Morning
30,2024-03-19,9:45,Tuesday,Text,463,1,No,No Media,24649,772,51,80,3.66,903,3.131972899509108,0.20690494543389185,0.32455677715120285,4.5194531218305,9,Morning
31,2024-02-18,13:30,Sunday,Carousel,135,9,Yes,Image,9417,247,39,18,3.23,304,2.622916002973346,0.41414463204842306,0.1911436763300414,4.024636296060317,13,Afternoon
32,2024-01-08,18:30,Monday,Carousel,495,8,Yes,Image,11269,345,43,16,3.59,404,3.0614961398526934,0.38157777974975593,0.1419824296743278,4.250598988375189,18,Evening
33,2024-04-06,16:45,Saturday,Text,313,9,No,No Media,23140,853,156,127,4.91,1136,3.686257562662057,0.6741573033707865,0.5488331892826275,6.6810717372515125,16,Afternoon
34,2024-03-07,13:00,Thursday,Image,228,6,Yes,Image,16880,359,28,35,2.5,422,2.1267772511848344,0.16587677725118483,0.20734597156398105,3.080568720379147,13,Afternoon
35,2024-01-10,10:00,Wednesday,Text,240,0,No,No Media,21539,804,72,108,4.57,984,3.7327638237615486,0.3342773573517805,0.5014160360276707,5.905566646548122,10,Morning
36,2024-03-31,8:15,Sunday,Carousel,387,5,Yes,Image,3839,191,36,11,6.2,238,4.975253972388643,0.9377442042198489,0.28653295128939826,7.710341234696536,8,Morning
37,2024-01-21,9:15,Sunday,Video,499,0,Yes,Video,30425,1281,212,85,5.19,1578,4.2103533278553815,0.6967953985209532,0.27937551355792933,6.442070665571076,9,Morning
38,2024-03-09,8:30,Saturday,Carousel,470,10,Yes,Image,31715,1260,199,184,5.18,1643,3.9728834936150084,0.6274633454201481,0.5801671133533028,6.968311524515213,8,Morning
39,2024-01-20,10:15,Saturday,Carousel,409,2,Yes,Image,26822,615,34,73,2.69,722,2.2928938930728506,0.12676161360077548,0.2721646409663709,3.3629110431735145,10,Morning
40,2024-04-23,13:45,Tuesday,Video,389,6,Yes,Video,31592,695,112,48,2.71,855,2.1999240314003545,0.35452013167890606,0.15193719929095975,3.364775892631046,13,Afternoon
41,2024-02-25,17:45,Sunday,Image,492,8,Yes,Image,40544,1257,108,178,3.81,1543,3.1003354380426207,0.2663772691397001,0.4390292028413575,4.950177584846093,17,Evening
42,2024-04-12,8:30,Friday,Image,467,8,Yes,Image,8606,330,65,38,5.03,433,3.834534046014409,0.7552870090634441,0.4415524052986289,6.669765280037184,8,Morning
43,2024-03-13,10:45,Wednesday,Video,174,0,Yes,Video,40114,1868,248,200,5.77,2316,4.656728324275814,0.6182380216383307,0.4985790497083312,7.388941516677469,10,Morning
44,2024-04-06,20:15,Saturday,Image,271,5,Yes,Image,16656,638,66,75,4.68,779,3.8304514889529298,0.3962536023054755,0.45028818443804036,5.973823246878002,20,Evening
45,2024-01-16,16:00,Tuesday,Video,293,3,Yes,Video,27987,769,52,42,3.08,863,2.7477042912780933,0.18580055025547576,0.15006967520634582,3.5695144174080826,16,Afternoon
46,2024-01-09,12:30,Tuesday,Carousel,157,6,Yes,Image,27377,956,63,129,4.19,1148,3.4919823209263248,0.2301201738685758,0.4711984512547029,5.365818022427585,12,Afternoon
47,2024-04-11,11:30,Thursday,Video,249,6,Yes,Video,5495,168,27,7,3.68,202,3.0573248407643314,0.4913557779799818,0.12738853503184713,4.422202001819836,11,Morning
48,2024-04-01,13:30,Monday,Carousel,352,1,Yes,Image,25079,620,93,61,3.09,774,2.4721878862793574,0.3708281829419036,0.24323138881135611,3.9435384185972326,13,Afternoon
49,2024-02-15,11:15,Thursday,Carousel,492,4,Yes,Image,26710,1267,144,149,5.84,1560,4.7435417446649195,0.5391239236241108,0.5578435043055036,7.495320104829652,11,Morning
50,2024-04-16,17:15,Tuesday,Video,393,4,Yes,Video,12399,549,55,39,5.19,643,4.427776433583353,0.4435841600129043,0.3145414952818776,6.258569239454795,17,Evening
51,2024-04-27,17:15,Saturday,Video,288,8,Yes,Video,33752,1268,220,166,4.9,1654,3.756814410997867,0.6518132258829107,0.4918227068025599,6.5359089831713675,17,Evening
52,2024-03-29,17:30,Friday,Text,445,3,No,No Media,7989,210,14,15,2.99,239,2.6286143447239954,0.17524095631493303,0.1877581674802854,3.542370759794718,17,Evening
53,2024-04-04,12:15,Thursday,Image,209,3,Yes,Image,30682,735,78,85,2.93,898,2.395541359754905,0.254220715729092,0.27703539534580535,3.735088977250505,12,Afternoon
54,2024-01-11,11:00,Thursday,Image,385,2,Yes,Image,21376,851,150,59,4.96,1060,3.9811002994011977,0.7017215568862275,0.27601047904191617,6.212574850299401,11,Morning
55,2024-04-04,8:15,Thursday,Text,360,10,No,No Media,34334,1095,195,87,4.01,1377,3.1892584610007573,0.5679501368905459,0.25339313799732044,5.08533814877381,8,Morning
56,2024-02-08,20:00,Thursday,Video,163,5,Yes,Video,7310,229,43,25,4.06,297,3.1326949384404923,0.5882352941176471,0.3419972640218878,5.33515731874145,20,Evening
57,2024-03-16,15:15,Saturday,Carousel,340,2,Yes,Image,10860,539,34,45,5.69,618,4.963167587476979,0.31307550644567217,0.4143646408839779,6.832412523020258,15,Afternoon
58,2024-01-28,12:00,Sunday,Video,127,0,Yes,Video,12298,381,53,51,3.94,485,3.0980647259717027,0.43096438445275653,0.41470157749227515,5.2040982273540415,12,Afternoon
59,2024-03-10,10:45,Sunday,Video,408,1,Yes,Video,13219,424,48,42,3.89,514,3.207504349799531,0.3631136999773054,0.31772448748014226,4.886905212194568,10,Morning
60,2024-04-22,9:15,Monday,Image,322,7,Yes,Image,33021,1180,198,95,4.46,1473,3.573483540777081,0.5996184246388662,0.2876957087913752,5.6358075164289385,9,Morning
61,2024-04-18,10:30,Thursday,Text,305,4,No,No Media,12878,301,24,21,2.69,346,2.3373194595434073,0.18636434228917534,0.1630687995030284,3.199254542630843,10,Morning
62,2024-04-24,17:45,Wednesday,Text,193,3,No,No Media,33420,1616,123,235,5.91,1974,4.83542788749252,0.36804308797127466,0.7031717534410533,7.681029323758229,17,Evening
63,2024-02-20,20:45,Tuesday,Image,301,6,Yes,Image,6443,235,42,17,4.56,294,3.6473692379326397,0.6518702467794506,0.2638522427440633,5.742666459723731,20,Evening
64,2024-01-03,17:00,Wednesday,Image,197,2,Yes,Image,8136,277,53,29,4.41,359,3.4046214355948865,0.6514257620452311,0.35644051130776794,5.776794493608653,17,Evening
65,2024-04-28,14:15,Sunday,Carousel,461,2,Yes,Image,24774,794,84,72,3.83,950,3.204972955517882,0.33906514894647616,0.290627270525551,4.754985064987487,14,Afternoon
66,2024-03-20,19:15,Wednesday,Video,444,3,Yes,Video,29394,1066,172,68,4.44,1306,3.626590460638225,0.5851534326733348,0.23133972919643464,5.490916513574199,19,Evening
67,2024-03-01,19:45,Friday,Image,342,8,Yes,Image,8790,320,22,14,4.05,356,3.6405005688282137,0.25028441410693975,0.15927189988623436,4.618885096700796,19,Evening
68,2024-03-27,9:30,Wednesday,Video,294,2,Yes,Video,42595,1306,167,99,3.69,1572,3.066087568963493,0.39206479633759833,0.23242164573306726,4.547482098837892,9,Morning
69,2024-01-22,11:30,Monday,Video,326,3,Yes,Video,33138,1309,135,178,4.89,1622,3.950147866497676,0.4073872895165671,0.5371476854366588,6.376365501840787,11,Morning
70,2024-04-07,9:00,Sunday,Image,445,3,Yes,Image,31538,1538,274,144,6.2,1956,4.876656731561925,0.8687932018517345,0.45659204768850276,7.984019278330902,9,Morning
71,2024-04-17,14:00,Wednesday,Image,197,4,Yes,Image,32629,1090,162,43,3.97,1295,3.340586594747004,0.49649085169634377,0.1317846087835974,4.7289221244904835,14,Afternoon
72,2024-02-14,12:15,Wednesday,Video,254,9,Yes,Video,34012,703,127,65,2.63,895,2.0669175585087616,0.37339762436787016,0.19110902034576033,3.3870398682817826,12,Afternoon
73,2024-02-08,12:00,Thursday,Image,435,9,Yes,Image,3923,154,27,17,5.05,198,3.925567167983686,0.688248789191945,0.4333418302319653,6.602090237063472,12,Afternoon
74,2024-04-06,20:45,Saturday,Image,490,6,Yes,Image,7814,214,12,29,3.26,255,2.7386741745584846,0.15357051446122344,0.37112874328129,4.159201433324801,20,Evening
75,2024-03-07,8:45,Thursday,Text,147,9,No,No Media,34115,744,126,89,2.81,959,2.180858859739118,0.3693390004396893,0.2608823098343837,3.702183790121647,8,Morning
76,2024-01-03,14:30,Wednesday,Carousel,230,2,Yes,Image,33977,1102,146,46,3.81,1294,3.243370515348618,0.42970244577214,0.13538570209259204,4.508932513170675,14,Afternoon
77,2024-01-26,16:30,Friday,Video,393,8,Yes,Video,47505,1740,95,136,4.15,1971,3.66277233975371,0.1999789495842543,0.2862856541416693,4.921587201347227,16,Afternoon
78,2024-02-18,15:15,Sunday,Text,496,2,No,No Media,19924,783,97,67,4.75,947,3.929933748243325,0.48685003011443484,0.33627785585223846,5.91246737602891,15,Afternoon
79,2024-02-06,11:15,Tuesday,Video,360,1,Yes,Video,34022,1209,197,138,4.54,1544,3.553582975721592,0.5790370936452883,0.4056198930104051,5.928516842043384,11,Morning
80,2024-04-01,11:45,Monday,Text,217,2,No,No Media,47842,1387,222,134,3.64,1743,2.8991262907069104,0.46402742360269217,0.28008862505748083,4.667447013084737,11,Morning
81,2024-01-20,11:00,Saturday,Image,164,1,Yes,Image,14278,312,51,16,2.65,379,2.185179997198487,0.357192884157445,0.11206051267684548,3.2357473035439135,11,Morning
82,2024-02-05,13:15,Monday,Image,132,8,Yes,Image,29361,764,133,71,3.3,968,2.6020912094274715,0.4529818466673478,0.24181737679234358,4.233507033139198,13,Afternoon
83,2024-03-18,13:15,Monday,Carousel,412,8,Yes,Image,6698,287,45,20,5.26,352,4.28486115258286,0.6718423409973127,0.2985965959988056,6.524335622573902,13,Afternoon
84,2024-02-23,15:00,Friday,Video,375,9,Yes,Video,36550,1731,324,185,6.13,2240,4.735978112175102,0.8864569083447331,0.506155950752394,8.027359781121751,15,Afternoon
85,2024-02-17,9:15,Saturday,Text,458,6,No,No Media,41370,1411,212,123,4.22,1746,3.410684070582548,0.5124486342760455,0.29731689630166785,5.327532028039642,9,Morning
86,2024-01-17,14:30,Wednesday,Video,260,4,Yes,Video,47364,2042,262,224,5.34,2528,4.311291276074656,0.5531627396334768,0.47293302930495734,6.836415843256481,14,Afternoon
87,2024-04-22,12:00,Monday,Image,442,4,Yes,Image,26983,704,94,103,3.34,901,2.6090501426824297,0.34836749064225625,0.381721824852685,4.450950598524997,12,Afternoon
88,2024-04-20,13:15,Saturday,Text,279,5,No,No Media,19758,803,111,103,5.15,1017,4.064176536086649,0.5617977528089888,0.5213078246786111,6.751695515740459,13,Afternoon
89,2024-04-11,8:45,Thursday,Video,295,8,Yes,Video,29573,1359,250,126,5.87,1735,4.595407973489332,0.8453657052040714,0.42606431542285195,7.564332330166029,8,Morning
90,2024-02-24,17:00,Saturday,Image,424,2,Yes,Image,49826,2357,119,266,5.5,2742,4.730462007787099,0.2388311323405451,0.5338578252318067,6.809697748163609,17,Evening
91,2024-01-12,11:45,Friday,Image,406,4,Yes,Image,13245,505,26,17,4.14,548,3.8127595318988297,0.19630049075122688,0.12835032087580217,4.59041147602869,11,Morning
92,2024-04-21,9:45,Sunday,Video,273,6,Yes,Video,33892,1209,129,109,4.27,1447,3.5672135017113185,0.380620795467957,0.3216098194264133,5.293284550926472,9,Morning
93,2024-03-07,8:15,Thursday,Video,238,5,Yes,Video,10845,434,36,50,4.79,520,4.0018441678192715,0.33195020746887965,0.46104195481788846,6.048870447210696,8,Morning
94,2024-03-26,9:15,Tuesday,Video,397,7,Yes,Video,37257,1526,91,146,4.73,1763,4.095874600746169,0.24424940279678986,0.3918726682234211,5.759991411010012,9,Morning
95,2024-03-24,13:00,Sunday,Video,338,5,Yes,Video,41376,2019,106,155,5.51,2280,4.879640371229698,0.2561871616395978,0.37461330239752516,6.515854601701469,13,Afternoon
96,2024-02-04,12:15,Sunday,Image,261,6,Yes,Image,20753,975,116,112,5.8,1203,4.698115935045536,0.5589553317592637,0.5396810099744616,7.435069628487448,12,Afternoon
97,2024-01-30,16:00,Tuesday,Carousel,450,7,Yes,Image,11403,256,33,16,2.67,305,2.2450232394983773,0.2893975269665877,0.14031395246864858,3.244760150837499,16,Afternoon
98,2024-01-02,11:30,Tuesday,Carousel,300,8,Yes,Image,23409,709,70,59,3.58,838,3.0287496262121403,0.29903028749626215,0.2520398137468495,4.382929642445213,11,Morning
99,2024-02-07,20:45,Wednesday,Carousel,337,4,Yes,Image,40172,1826,189,138,5.36,2153,4.545454545454546,0.4704769491187892,0.3435228517375286,6.51697699890471,20,Evening
100,2024-04-23,11:00,Tuesday,Text,325,8,No,No Media,43998,2117,108,66,5.21,2291,4.811582344652029,0.2454657029864994,0.15000681849174963,5.752534206100277,11,Morning
101,2024-02-13,17:00,Tuesday,Carousel,456,9,Yes,Image,10267,492,53,68,5.97,613,4.792052206097205,0.5162170059413655,0.6623161585662802,7.811434693678778,17,Evening
102,2024-04-22,17:15,Monday,Text,216,0,No,No Media,30631,1204,98,95,4.56,1397,3.9306584832359373,0.31993731840292516,0.3101433188599784,5.500963076621723,17,Evening
103,2024-03-11,19:00,Monday,Image,484,3,Yes,Image,9829,290,24,29,3.49,343,2.950452741886255,0.24417539932851764,0.2950452741886255,4.323939363109167,19,Evening
104,2024-02-21,9:00,Wednesday,Text,301,0,No,No Media,16011,684,35,54,4.83,773,4.2720629567172566,0.21859971269752046,0.33726812816188867,5.721066766597964,9,Morning
105,2024-04-04,13:00,Thursday,Image,230,4,Yes,Image,10846,378,56,39,4.36,473,3.485155817813019,0.5163193804167435,0.3595795685045178,5.596533284160059,13,Afternoon
106,2024-01-19,10:00,Friday,Carousel,138,4,Yes,Image,33641,1627,287,195,6.27,2109,4.836360393567373,0.853125650248209,0.579649832050177,8.281561190214322,10,Morning
107,2024-03-09,19:45,Saturday,Carousel,416,1,Yes,Image,8975,253,47,13,3.49,313,2.818941504178273,0.5236768802228412,0.14484679665738162,4.3008356545961,19,Evening
108,2024-03-30,14:15,Saturday,Image,495,3,Yes,Image,24509,867,86,32,4.02,985,3.5374760292137584,0.35089150924150314,0.13056428250846627,4.6309518952221636,14,Afternoon
109,2024-03-08,12:45,Friday,Video,491,1,Yes,Video,22452,1024,149,88,5.62,1261,4.560840905041867,0.6636379832531623,0.39194726527703544,7.063958667379298,12,Afternoon
110,2024-04-06,10:45,Saturday,Image,421,5,Yes,Image,39595,1530,230,127,4.77,1887,3.864124258113398,0.5808814244222755,0.32074756913751734,5.9881298143705015,10,Morning
111,2024-03-27,19:30,Wednesday,Text,130,7,No,No Media,7310,295,40,17,4.82,352,4.035567715458276,0.5471956224350205,0.23255813953488372,5.827633378932968,19,Evening
112,2024-04-14,16:45,Sunday,Video,136,9,Yes,Video,11279,248,16,29,2.6,293,2.198776487277241,0.1418565475662736,0.2571149924638709,3.253834559801401,16,Afternoon
113,2024-03-09,16:00,Saturday,Text,435,1,No,No Media,34395,796,139,37,2.83,972,2.31428986771333,0.40412850705044334,0.10757377525803169,3.4452682075883123,16,Afternoon
114,2024-02-28,10:00,Wednesday,Text,424,3,No,No Media,35368,1626,192,219,5.76,2037,4.597376159239991,0.5428636055191134,0.6192038000452386,7.540714770413934,10,Morning
115,2024-02-19,18:30,Monday,Video,192,7,Yes,Video,37681,1165,138,95,3.71,1398,3.091743849685518,0.3662323186751944,0.2521164512619092,4.580557840821634,18,Evening
116,2024-03-09,17:15,Saturday,Video,193,10,Yes,Video,16911,778,39,87,5.35,904,4.600555851221098,0.23061912364733014,0.5144580450594288,6.6051682336940445,17,Evening
117,2024-04-28,19:15,Sunday,Image,226,7,Yes,Image,29136,770,147,94,3.47,1011,2.64277869302581,0.5045304777594728,0.3226249313563976,4.619714442613948,19,Evening
118,2024-02-17,19:30,Saturday,Text,259,7,No,No Media,21285,871,85,94,4.93,1050,4.092083626967348,0.39934225980737603,0.4416255579046277,6.215644820295983,19,Evening
119,2024-03-09,13:15,Saturday,Video,384,5,Yes,Video,30082,1160,217,136,5.03,1513,3.8561265873279704,0.7213616115949738,0.4520975998936241,6.65514261019879,13,Afternoon
120,2024-03-22,11:00,Friday,Text,307,4,No,No Media,48739,2377,230,248,5.86,2855,4.8769978867026405,0.471901352099961,0.5088327622643057,7.347298877695479,11,Morning
121,2024-03-22,12:30,Friday,Carousel,209,8,Yes,Image,6684,293,47,33,5.58,373,4.3836026331538,0.7031717534410533,0.49371633752244165,7.271095152603231,12,Afternoon
122,2024-01-16,13:45,Tuesday,Text,129,4,No,No Media,32923,906,137,85,3.43,1128,2.7518755884943658,0.4161224675758588,0.258178173313489,4.35865504358655,13,Afternoon
123,2024-03-18,19:30,Monday,Carousel,472,6,Yes,Image,28042,969,179,86,4.4,1234,3.45553098923044,0.6383282219527852,0.3066828328935169,5.652235931816561,19,Evening
124,2024-01-25,12:30,Thursday,Video,363,0,Yes,Video,44524,1507,187,46,3.91,1740,3.3846914023897225,0.4199982032162429,0.10331506603180307,4.534633006917618,12,Afternoon
125,2024-01-15,9:00,Monday,Image,428,9,Yes,Image,38152,1768,146,156,5.43,2070,4.63409519815475,0.3826798070874397,0.40889075277836023,6.62612707066471,9,Morning
126,2024-03-31,11:15,Sunday,Video,150,1,Yes,Video,48979,1453,223,148,3.72,1824,2.966577512811613,0.4552971681741154,0.3021703178913412,4.783682802833868,11,Morning
127,2024-03-28,12:30,Thursday,Video,451,2,Yes,Video,45510,1593,138,77,3.97,1808,3.5003295978905737,0.30323005932762026,0.16919358382773017,4.614370468029005,12,Afternoon
128,2024-01-21,8:45,Sunday,Carousel,434,3,Yes,Image,46575,1141,144,110,3.0,1395,2.449812130971551,0.30917874396135264,0.23617820719269994,3.7767042404723563,8,Morning
129,2024-01-26,17:00,Friday,Image,145,9,Yes,Image,7722,264,22,38,4.2,324,3.418803418803419,0.2849002849002849,0.4921004921004921,5.464905464905464,17,Evening
130,2024-02-20,18:00,Tuesday,Carousel,450,1,Yes,Image,48354,993,74,103,2.42,1170,2.0536046655912648,0.15303801133308517,0.2130123671257807,2.9987177896347768,18,Evening
131,2024-01-05,17:30,Friday,Image,214,5,Yes,Image,31622,1108,100,78,4.07,1286,3.5038896970463598,0.31623553222440076,0.24666371513503257,4.876351906900259,17,Evening
132,2024-03-13,17:30,Wednesday,Image,234,8,Yes,Image,41203,1204,193,67,3.55,1464,2.9221173215542557,0.46841249423585657,0.16260951872436474,4.346770866199063,17,Evening
133,2024-04-18,16:30,Thursday,Text,425,9,No,No Media,48667,2293,300,137,5.61,2730,4.711611564304354,0.6164341340127807,0.28150492119916987,6.788994595927425,16,Afternoon
134,2024-04-20,8:45,Saturday,Text,355,0,No,No Media,40607,1071,119,123,3.23,1313,2.6374762971901395,0.2930529219100155,0.30290344029354543,4.132292461890807,8,Morning
135,2024-04-15,10:00,Monday,Image,326,1,Yes,Image,45607,1795,131,211,4.69,2137,3.935799329050365,0.28723660841537485,0.46264827767667244,5.8982173789111325,10,Morning
136,2024-04-02,13:30,Tuesday,Video,216,7,Yes,Video,18114,576,47,31,3.61,654,3.179860881086453,0.2594678149497626,0.17113834603069447,4.212211549078061,13,Afternoon
137,2024-04-16,16:15,Tuesday,Text,187,8,No,No Media,16699,534,32,26,3.55,592,3.1977962752260614,0.19162824121204863,0.1556979459847895,4.0481465956045275,16,Afternoon
138,2024-01-01,12:15,Monday,Carousel,499,4,Yes,Image,10353,213,28,31,2.63,272,2.057374674007534,0.2704530087897228,0.29943011687433596,3.4965710422099874,12,Afternoon
139,2024-02-04,8:00,Sunday,Video,486,0,Yes,Video,22352,760,119,94,4.35,973,3.4001431639226913,0.5323908375089478,0.42054402290622767,5.72655690765927,8,Morning
140,2024-01-25,12:15,Thursday,Carousel,361,7,Yes,Image,20684,958,117,74,5.56,1149,4.631599303809708,0.5656546122606846,0.35776445561786885,6.836201895184684,12,Afternoon
141,2024-04-03,18:45,Wednesday,Carousel,151,1,Yes,Image,45393,2053,138,234,5.34,2425,4.522723767981848,0.30401163174938867,0.5154979842707025,6.677240984292733,18,Evening
142,2024-03-02,19:00,Saturday,Text,343,2,No,No Media,40858,1249,191,178,3.96,1618,3.056928875617994,0.46747271036271965,0.43565519604483827,5.298839884477948,19,Evening
143,2024-01-27,16:15,Saturday,Carousel,398,4,Yes,Image,44115,1259,220,123,3.63,1602,2.8539045676073895,0.4986965884619744,0.2788167290037402,4.687747931542559,16,Afternoon
144,2024-01-11,10:00,Thursday,Carousel,422,1,Yes,Image,5466,151,19,18,3.44,188,2.762532016099524,0.34760336626417854,0.3293084522502744,4.445664105378705,10,Morning
145,2024-02-09,19:15,Friday,Image,146,3,Yes,Image,5237,243,47,34,6.19,324,4.640061103685316,0.8974603780790529,0.6492266564827192,8.38266182929158,19,Evening
146,2024-03-13,9:15,Wednesday,Carousel,481,5,Yes,Image,36196,1648,135,98,5.2,1881,4.55298928058349,0.3729693888827495,0.27074814896673666,6.111172505249199,9,Morning
147,2024-04-09,14:45,Tuesday,Image,383,8,Yes,Image,25574,1175,91,159,5.57,1425,4.594510049268789,0.35583013998592317,0.621725189645734,7.1713458981778375,14,Afternoon
148,2024-01-17,12:30,Wednesday,Video,404,5,Yes,Video,40480,1906,344,161,5.96,2411,4.708498023715415,0.849802371541502,0.3977272727272727,7.601284584980237,12,Afternoon
149,2024-01-08,16:00,Monday,Video,261,0,Yes,Video,5378,152,28,12,3.57,192,2.8263294905169207,0.5206396429899591,0.2231312755671253,4.537002603198214,16,Afternoon
150,2024-02-23,9:15,Friday,Image,263,7,Yes,Image,49373,1983,300,182,4.99,2465,4.016365219857007,0.6076195491462946,0.3686225264820854,6.337471897595852,9,Morning
151,2024-04-27,9:45,Saturday,Carousel,369,5,Yes,Image,46862,2221,315,312,6.08,2848,4.739447740173275,0.6721864197003968,0.6657846442746789,8.081174512398105,9,Morning
152,2024-02-22,9:45,Thursday,Image,227,5,Yes,Image,30840,1156,92,50,4.21,1298,3.748378728923476,0.29831387808041504,0.1621271076523995,4.831387808041505,9,Morning
153,2024-03-18,18:15,Monday,Image,347,1,Yes,Image,37660,1042,84,40,3.1,1166,2.7668613913967075,0.22304832713754646,0.10621348911311736,3.5315985130111525,18,Evening
154,2024-01-03,12:00,Wednesday,Text,251,3,No,No Media,49739,1642,198,99,3.9,1939,3.301232433301836,0.39807796698767567,0.19903898349383783,4.6945053177587,12,Afternoon
